# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.255255255    0.026073105    0.026072421    0.000148272
    5.270270270    0.023026900    0.023026296    0.000152419
    5.285285285    0.020478816    0.020478297    0.000156923
    5.300300300    0.018327077    0.018326642    0.000161843
    5.315315315    0.016494361    0.016494005    0.000167252
    5.330330330    0.014921142    0.014920863    0.000173239
    5.345345345    0.013561044    0.013560836    0.000179923
    5.360360360    0.012377525    0.012377384    0.000187451
    5.375375375    0.011341499    0.011341419    0.000196018
    5.390390390    0.010429591    0.010429569    0.000205882
    5.405405405    0.009622855    0.009622886    0.000217393
    5.420420420    0.008905806    0.008905887    0.000231029
    5.435435435    0.008265693    0.008265821    0.000247460
    5.450450450    0.007691945    0.007692116    0.000267647
    5.465465465    0.007175736    0.007175948    0.000292990
    5.480480480    0.006709654    0.006709904    0.000325575
    5.495495495    0.006287440    0.006287726    0.000368563
    5.510510511    0.005903778    0.005904098    0.000426765
    5.525525526    0.005554131    0.005554484    0.000507339
    5.540540541    0.005234609    0.005234992    0.000619933
    5.555555556    0.004941861    0.004942273    0.000773314
    5.570570571    0.004672986    0.004673426    0.000960312
    5.585585586    0.004425467    0.004425933    0.001125967
    5.600600601    0.004197108    0.004197600    0.001170678
    5.615615616    0.003985988    0.003986505    0.001063717
    5.630630631    0.003790421    0.003790962    0.000890798
    5.645645646    0.003608920    0.003609484    0.000734373
    5.660660661    0.003440174    0.003440760    0.000619439
    5.675675676    0.003283017    0.003283625    0.000541658
    5.690690691    0.003136418    0.003137047    0.000491065
    5.705705706    0.002999453    0.003000103    0.000459429
    5.720720721    0.002871301    0.002871972    0.000441112
    5.735735736    0.002751224    0.002751915    0.000432472
    5.750750751    0.002638560    0.002639271    0.000431210
    5.765765766    0.002532714    0.002533444    0.000435902
    5.780780781    0.002433149    0.002433899    0.000445711
    5.795795796    0.002339380    0.002340150    0.000460205
    5.810810811    0.002250968    0.002251757    0.000479251
    5.825825826    0.002167515    0.002168323    0.000502964
    5.840840841    0.002088658    0.002089485    0.000531676
    5.855855856    0.002014069    0.002014915    0.000565943
    5.870870871    0.001943446    0.001944311    0.000606562
    5.885885886    0.001876515    0.001877399    0.000654620
    5.900900901    0.001813025    0.001813928    0.000711566
    5.915915916    0.001752745    0.001753668    0.000779314
    5.930930931    0.001695465    0.001696408    0.000860408
    5.945945946    0.001640991    0.001641953    0.000958246
    5.960960961    0.001589143    0.001590125    0.001077426
    5.975975976    0.001539757    0.001540760    0.001224255
    5.990990991    0.001492682    0.001493705    0.001407523
    6.006006006    0.001447777    0.001448821    0.001639712
    6.021021021    0.001404913    0.001405977    0.001938886
    6.036036036    0.001363968    0.001365054    0.002331712
    6.051051051    0.001324833    0.001325939    0.002858283
    6.066066066    0.001287402    0.001288531    0.003579657
    6.081081081    0.001251581    0.001252732    0.004588631
    6.096096096    0.001217280    0.001218454    0.006020620
    6.111111111    0.001184415    0.001185612    0.008044852
    6.126126126    0.001152910    0.001154130    0.010761243
    6.141141141    0.001122691    0.001123936    0.013840042
    6.156156156    0.001093692    0.001094961    0.016005670
    6.171171171    0.001065848    0.001067143    0.015706511
    6.186186186    0.001039102    0.001040423    0.013204017
    6.201201201    0.001013397    0.001014745    0.010168071
    6.216216216    0.000988683    0.000990058    0.007645494
    6.231231231    0.000964910    0.000966314    0.005816703
    6.246246246    0.000942034    0.000943466    0.004532275
    6.261261261    0.000920011    0.000921472    0.003605185
    6.276276276    0.000898801    0.000900293    0.002908545
    6.291291291    0.000878366    0.000879889    0.002379143
    6.306306306    0.000858672    0.000860227    0.001977884
    6.321321321    0.000839683    0.000841272    0.001672220
    6.336336336    0.000821370    0.000822993    0.001436349
    6.351351351    0.000803702    0.000805360    0.001251456
    6.366366366    0.000786652    0.000788346    0.001104266
    6.381381381    0.000770192    0.000771924    0.000985419
    6.396396396    0.000754298    0.000756068    0.000888244
    6.411411411    0.000738946    0.000740757    0.000807903
    6.426426426    0.000724115    0.000725967    0.000740831
    6.441441441    0.000709783    0.000711678    0.000684357
    6.456456456    0.000695930    0.000697869    0.000636452
    6.471471471    0.000682537    0.000684523    0.000595550
    6.486486486    0.000669587    0.000671621    0.000560431
    6.501501502    0.000657063    0.000659146    0.000530131
    6.516516517    0.000644949    0.000647084    0.000503884
    6.531531532    0.000633230    0.000635418    0.000481071
    6.546546547    0.000621892    0.000624135    0.000461194
    6.561561562    0.000610921    0.000613222    0.000443842
    6.576576577    0.000600305    0.000602666    0.000428680
    6.591591592    0.000590031    0.000592455    0.000415432
    6.606606607    0.000580088    0.000582577    0.000403866
    6.621621622    0.000570466    0.000573023    0.000393790
    6.636636637    0.000561153    0.000563781    0.000385047
    6.651651652    0.000552142    0.000554844    0.000377501
    6.666666667    0.000543422    0.000546202    0.000371043
    6.681681682    0.000534986    0.000537846    0.000365580
    6.696696697    0.000526824    0.000529769    0.000361040
    6.711711712    0.000518931    0.000521965    0.000357362
    6.726726727    0.000511298    0.000514425    0.000354500
    6.741741742    0.000503920    0.000507144    0.000352422
    6.756756757    0.000496790    0.000500116    0.000351108
    6.771771772    0.000489903    0.000493337    0.000350550
    6.786786787    0.000483254    0.000486800    0.000350754
    6.801801802    0.000476837    0.000480503    0.000351742
    6.816816817    0.000470650    0.000474440    0.000353550
    6.831831832    0.000464687    0.000468610    0.000356237
    6.846846847    0.000458947    0.000463008    0.000359885
    6.861861862    0.000453425    0.000457634    0.000364605
    6.876876877    0.000448120    0.000452484    0.000370551
    6.891891892    0.000443030    0.000447558    0.000377925
    6.906906907    0.000438154    0.000442856    0.000387001
    6.921921922    0.000433490    0.000438376    0.000398147
    6.936936937    0.000429038    0.000434121    0.000411866
    6.951951952    0.000424800    0.000430091    0.000428847
    6.966966967    0.000420776    0.000426288    0.000450058
    6.981981982    0.000416967    0.000422715    0.000476873
    6.996996997    0.000413376    0.000419376    0.000511286
    7.012012012    0.000410007    0.000416275    0.000556242
    7.027027027    0.000406864    0.000413419    0.000616167
    7.042042042    0.000403952    0.000410815    0.000697810
    7.057057057    0.000401276    0.000408469    0.000811430
    7.072072072    0.000398846    0.000406393    0.000972028
    7.087087087    0.000396669    0.000404598    0.001198463
    7.102102102    0.000394757    0.000403096    0.001502344
    7.117117117    0.000393121    0.000401904    0.001848589
    7.132132132    0.000391775    0.000401038    0.002097105
    7.147147147    0.000390737    0.000400520    0.002072411
    7.162162162    0.000390026    0.000400373    0.001797601
    7.177177177    0.000389664    0.000400624    0.001458358
    7.192192192    0.000389677    0.000401307    0.001174216
    7.207207207    0.000390095    0.000402457    0.000967207
    7.222222222    0.000390954    0.000404117    0.000822606
    7.237237237    0.000392295    0.000406338    0.000721911
